name,lane,kind,area,address,website,lat,lon,wikidata,image_license,image_local_path
22,Social & nightlife,Pub,Reykjavik,,,64.1456313,-21.9291732,,,
Ægir,Social & nightlife,Pub,Reykjavik,,,64.1463922,-21.9327839,,,
American Bar,Social & nightlife,Pub,Austurstræti,"Austurstræti 8-10, 101 Reykjavík",,64.1476951,-21.940116,,,
Áslákur,Social & nightlife,Pub,Reykjavik,,,64.166874,-21.6927207,,,
Auto,Social & nightlife,Nightclub,Reykjavik,,https://www.autoclub.is/,64.1469101,-21.9372464,,,
Billiardbarinn,Social & nightlife,Pub,Reykjavik,,,64.1287706,-21.8660783,,,
Bird,Social & nightlife,Pub,Reykjavik,,,64.1486444,-21.9398559,,,
BrewDog,Social & nightlife,Pub,Reykjavik,,https://www.brewdog.com/bars/worldwide/reykjavik,64.14547,-21.9246286,,,
Café Bar 8,Social & nightlife,Bar,Reykjavik,,,64.1052642,-21.8150646,,,
Catalina,Social & nightlife,Pub,Hamraborg,"Hamraborg 11, 200 Kópavogur",https://www.facebook.com/Cafe-Catalina-117306961641876,64.1126745,-21.9022563,,,
Classik Rock,Social & nightlife,Pub,Reykjavik,,,64.1388421,-21.885631,,,
Crystal Champagne Bar,Social & nightlife,Pub,Reykjavik,,,64.1487969,-21.9404036,,,
Daisy,Social & nightlife,Bar,Ingólfsstræti,"Ingólfsstræti 8, 101",,64.1463017,-21.9340774,,,
Den Danske Kro,Social & nightlife,Pub,Reykjavik,,,64.1463823,-21.9336621,,,
Dillon,Social & nightlife,Bar,Reykjavik,,https://www.dillon.is/,64.1452697,-21.9274726,,,
Dillon sportbar,Social & nightlife,Pub,Reykjavik,,,64.0796716,-21.9459867,,,
Djúpið,Social & nightlife,Bar,Reykjavik,,,64.1481484,-21.9380614,,,
Domo,Social & nightlife,Bar,Reykjavik,,,64.1463368,-21.9345772,,,
Drykk,Social & nightlife,Bar,Reykjavik,,,64.1477478,-21.9381537,,,
Efri,Social & nightlife,Bar,Drafnarfell,"Drafnarfell 14-18, 111",https://www.facebook.com/p/EFRI-61574648773864/,64.1012646,-21.8237901,,,
Einstök Bar,Social & nightlife,Bar,Laugavegur,Laugavegur 10,,64.1461094,-21.9314276,,,
Ellý,Social & nightlife,Bar,Reykjavik,,,64.1460455,-21.9311763,,,
Enski barinn / English Pub,Social & nightlife,Pub,Flatahraun,"Flatahraun 5a, 220 Hafnarfjörður",https://enskibarinn.is/,64.0757376,-21.9471992,,,
Forsetinn,Social & nightlife,Pub,Reykjavik,,,64.1447328,-21.9239287,,,
Freyja Bistro Pub,Social & nightlife,Pub,Frakkastígur,"Frakkastígur 9, 101 Reykjavík",,64.1451145,-21.924592,,,
Gamli Gaukurinn,Social & nightlife,Pub,Reykjavik,,,64.148706,-21.9401271,,,
